order_id,driver_id,pickup_time,distance,duration,cancellation
1,1,"2021-01-01 18:15:34",20km,"32 minutes",
2,1,"2021-01-01 19:10:54",20km,"27 minutes",
3,1,"2021-01-02 23:57:37",13.4km,"20 minutes",NaN
4,2,"2021-01-04 13:53:03",23.4,"40 minutes",NaN
5,3,"2021-01-08 21:10:57",10,"15 minutes",NaN
6,3,NULL,NULL,NULL,Cancellation
7,2,"2021-01-08 21:30:45",25km,"25 mins",NULL
8,2,"2021-01-09 23:58:02","23.4 km","15 minute",NULL
9,2,NULL,NULL,NULL,"Customer Cancellation"
10,1,"2021-01-11 18:50:20",10km,"10 minutes",NULL
